tx_id,timestamp,amount,currency,channel,src_type,src_id,dst_type,dst_id,src_country,dst_country,ip_country,crypto_institution_registered,kyc_age_days,label,rule_hits,anomaly_score,device_id,auth_method,mcc,purpose,reference,beneficiary_bank_bic,beneficiary_iban,originator_bank_bic,originator_iban,fee_amount,exchange_rate,card_present,recurring,standing_order,is_cross_border,ip_country,device_id,auth_method,mcc,purpose,reference,beneficiary_bank_bic,beneficiary_iban,originator_bank_bic,originator_iban,fee_amount,exchange_rate,crypto_institution_registered,card_present,recurring,standing_order,is_cross_border
9012,2025-06-13T06:37:23.534Z,1089.9,EUR,CASH,company,718,customer,983,DE,LU,,,,normal,,97,dev-863141,SCA,,Gift,REF-347844,AGRIFLUL0XX,LU769724110000000901201,BNPADEPP0XX,FR763963810000000901301,2.61,1,,false,false,true,,dev-863141,SCA,,Gift,REF-347844,AGRIFLUL0XX,LU769724110000000901201,BNPADEPP0XX,FR763963810000000901301,2.61,1,,,false,false,true
9013,2025-07-01T06:37:23.534Z,7817.31,EUR,SEPA,customer,359,company,858,BE,CN,,,,suspect,FONDS_SEIN_PAYS_TIER,94,dev-271538,SCA,,Crypto,REF-737832,HSBCCNMMXXX,FR765121710000000901301,BNPABEPA0XX,FR761860510000000901401,0.97,1,,true,false,true,,dev-271538,SCA,,Crypto,REF-737832,HSBCCNMMXXX,FR765121710000000901301,BNPABEPA0XX,FR761860510000000901401,0.97,1,,,true,false,true
9014,2025-07-20T06:37:23.534Z,4086.38,CHF,SEPA,customer,14,customer,540,CH,CH,,,,review,FONDS_SEIN_PAYS_TIER,99,dev-898052,SCA,,Gift,REF-368665,AGRIFCHPXXX,FR769529910000000901401,CCBPCHLX0XX,FR765455810000000901501,2.01,1.0142,,true,false,false,,dev-898052,SCA,,Gift,REF-368665,AGRIFCHPXXX,FR769529910000000901401,CCBPCHLX0XX,FR765455810000000901501,2.01,1.0142,,,true,false,false
9015,2025-07-02T06:37:23.534Z,1326.84,EUR,PSU-PSD2,company,561,customer,35,BE,ES,DE,,,suspect,UTILISATION_CONNECTE,38,dev-197858,SCA,,Crypto,REF-630951,AGRIFESM2A1,FR763144310000000901501,CCBPBEMMXXX,FR766041310000000901601,0.22,1,,false,false,true,DE,dev-197858,SCA,,Crypto,REF-630951,AGRIFESM2A1,FR763144310000000901501,CCBPBEMMXXX,FR766041310000000901601,0.22,1,,,false,false,true
9016,2025-07-11T06:37:23.534Z,1833.7,GBP,CASH,customer,592,company,360,US,US,,,,review,FONDS_SEIN_PAYS_TIER,16,dev-233013,SCA,,Invoice,REF-946092,BNPAUSMMXXX,FR767838710000000901601,HSBCUSPPXXX,FR766892810000000901701,1.89,1.0783,,false,false,false,,dev-233013,SCA,,Invoice,REF-946092,BNPAUSMMXXX,FR767838710000000901601,HSBCUSPPXXX,FR766892810000000901701,1.89,1.0783,,,false,false,false
9017,2025-06-16T06:37:23.534Z,5026.51,USD,SWIFT,customer,429,customer,623,CN,NG,,,,review,FONDS_SEIN_PAYS_TIER,21,dev-467762,SCA,,Gift,REF-596667,PSSTNGPAXXX,FR762792910000000901701,CCBPCNLX0XX,FR763098310000000901801,0.77,1.1807,,false,false,true,,dev-467762,SCA,,Gift,REF-596667,PSSTNGPAXXX,FR762792910000000901701,CCBPCNLX0XX,FR763098310000000901801,0.77,1.1807,,,false,false,true
9018,2025-07-25T06:37:23.534Z,4672.8,EUR,PSU-PSD2,company,610,company,836,LU,US,GB,,,normal,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,62,dev-207784,SCA,,Salary,REF-346834,CITIUSLLXXX,FR767468010000000901801,PSSTLUPP2A1,LU763669610000000901901,2.19,1,,false,false,true,GB,dev-207784,SCA,,Salary,REF-346834,CITIUSLLXXX,FR767468010000000901801,PSSTLUPP2A1,LU763669610000000901901,2.19,1,,,false,false,true
9019,2025-08-15T06:37:23.534Z,752.36,CHF,CRYPTO,customer,974,customer,313,CN,CH,,true,,suspect,FONDS_SEIN_PAYS_TIER,77,dev-536495,SCA,,Invoice,REF-323755,CITICHMMXXX,FR768523910000000901901,PSSTCNMMXXX,FR768248210000000902001,0.17,1.0861,,false,false,true,,dev-536495,SCA,,Invoice,REF-323755,CITICHMMXXX,FR768523910000000901901,PSSTCNMMXXX,FR768248210000000902001,0.17,1.0861,true,,false,false,true
9020,2025-06-15T06:37:23.534Z,2643.75,CHF,PSU-PSD2,customer,416,customer,259,GB,ES,GB,,,normal,,47,dev-564561,SCA,,Gift,REF-326916,BNPAESMMXXX,FR761723410000000902001,SOGEGBLLXXX,FR767347710000000902101,1.55,1.1139,,false,false,true,GB,dev-564561,SCA,,Gift,REF-326916,BNPAESMMXXX,FR761723410000000902001,SOGEGBLLXXX,FR767347710000000902101,1.55,1.1139,,,false,false,true
9021,2025-06-19T06:37:23.534Z,7739.68,EUR,SEPA,customer,514,customer,733,BE,CN,,,,normal,FONDS_SEIN_PAYS_TIER,49,dev-106872,SCA,,Crypto,REF-542931,PSSTCNPA0XX,FR765686310000000902101,HSBCBELXXXX,FR761242810000000902201,1.47,1,,false,false,true,,dev-106872,SCA,,Crypto,REF-542931,PSSTCNPA0XX,FR765686310000000902101,HSBCBELXXXX,FR761242810000000902201,1.47,1,,,false,false,true
9022,2025-06-25T06:37:23.534Z,5862.25,CHF,CASH,company,435,company,258,AE,IT,,,,review,,99,dev-570023,SCA,,Invoice,REF-539729,CITIITPP2A1,FR769983710000000902201,PSSTAEPP2A1,FR764026710000000902301,0.82,1.3111,,false,false,true,,dev-570023,SCA,,Invoice,REF-539729,CITIITPP2A1,FR769983710000000902201,PSSTAEPP2A1,FR764026710000000902301,0.82,1.3111,,,false,false,true
9023,2025-08-31T06:37:23.534Z,2560.87,EUR,CRYPTO,company,93,customer,873,IT,BE,,true,,review,,28,dev-241561,SCA,,Trade,REF-161158,AGRIFBEP2A1,FR762888110000000902301,SOGEITPP0XX,FR762337910000000902401,1.86,1,,false,false,true,,dev-241561,SCA,,Trade,REF-161158,AGRIFBEP2A1,FR762888110000000902301,SOGEITPP0XX,FR762337910000000902401,1.86,1,true,,false,false,true
9024,2025-08-11T06:37:23.534Z,834.21,EUR,SWIFT,company,928,company,523,ES,NG,,,,review,FONDS_SEIN_PAYS_TIER,22,dev-225800,SCA,,Rent,REF-501599,AGRIFNGLXXX,FR763087010000000902401,CCBPESPAXXX,FR761230910000000902501,1.84,1,,false,false,true,,dev-225800,SCA,,Rent,REF-501599,AGRIFNGLXXX,FR763087010000000902401,CCBPESPAXXX,FR761230910000000902501,1.84,1,,,false,false,true
9025,2025-07-07T06:37:23.534Z,7962.95,CHF,SWIFT,company,340,company,307,BE,CH,,,,normal,FONDS_SEIN_PAYS_TIER,49,dev-309216,SCA,,Invoice,REF-190827,PSSTCHLLXXX,FR768788610000000902501,SOGEBEMM0XX,FR762596010000000902601,2.62,1.0803,,false,false,true,,dev-309216,SCA,,Invoice,REF-190827,PSSTCHLLXXX,FR768788610000000902501,SOGEBEMM0XX,FR762596010000000902601,2.62,1.0803,,,false,false,true
9026,2025-09-07T06:37:23.534Z,695.62,EUR,SEPA,company,959,customer,321,FR,FR,,,,review,,98,dev-715408,SCA,,Salary,REF-200974,AGRIFFRLXXX,FR765528510000000902601,HSBCFRLL2A1,FR765949510000000902701,0.39,1,,true,false,false,,dev-715408,SCA,,Salary,REF-200974,AGRIFFRLXXX,FR765528510000000902601,HSBCFRLL2A1,FR765949510000000902701,0.39,1,,,true,false,false
9027,2025-07-21T06:37:23.534Z,194.14,USD,PSU-PSD2,company,37,company,122,ES,LU,GB,,,normal,UTILISATION_CONNECTE,28,dev-984898,SCA,,Rent,REF-751101,PSSTLULX0XX,LU763961910000000902701,CCBPESLLXXX,FR765521710000000902801,0.54,0.9605,,false,false,true,GB,dev-984898,SCA,,Rent,REF-751101,PSSTLULX0XX,LU763961910000000902701,CCBPESLLXXX,FR765521710000000902801,0.54,0.9605,,,false,false,true
9028,2025-08-21T06:37:23.534Z,2161.76,CHF,SEPA,company,363,company,310,CN,BE,,,,review,,67,dev-821276,SCA,,Trade,REF-316435,AGRIFBEL0XX,FR767998410000000902801,CCBPCNPPXXX,FR764029510000000902901,0.27,1.342,,true,false,true,,dev-821276,SCA,,Trade,REF-316435,AGRIFBEL0XX,FR767998410000000902801,CCBPCNPPXXX,FR764029510000000902901,0.27,1.342,,,true,false,true
9029,2025-08-09T06:37:23.534Z,355.39,EUR,CARD,company,20,customer,651,BE,CH,,,,review,FONDS_SEIN_PAYS_TIER,84,dev-739432,3DS,5411,Gift,REF-616533,SOGECHPAXXX,FR765952210000000902901,BNPABEMM2A1,FR763618410000000903001,0.78,1,false,false,false,true,,dev-739432,3DS,5411,Gift,REF-616533,SOGECHPAXXX,FR765952210000000902901,BNPABEMM2A1,FR763618410000000903001,0.78,1,,false,false,false,true
9030,2025-06-15T06:37:23.534Z,443.85,EUR,CARD,company,956,company,353,FR,NG,,,,suspect,FONDS_SEIN_PAYS_TIER,30,dev-118783,3DS,5732,Rent,REF-566923,DEUTNGLX2A1,FR763631910000000903001,CCBPFRMM2A1,FR769533410000000903101,2.99,1,false,false,false,true,,dev-118783,3DS,5732,Rent,REF-566923,DEUTNGLX2A1,FR763631910000000903001,CCBPFRMM2A1,FR769533410000000903101,2.99,1,,false,false,false,true
9031,2025-08-24T06:37:23.534Z,5917.3,EUR,SEPA,company,20,company,103,FR,LU,,,,suspect,,14,dev-228363,SCA,,Salary,REF-439592,DEUTLUPPXXX,LU764755410000000903101,PSSTFRPP0XX,FR763262410000000903201,0.28,1,,false,false,true,,dev-228363,SCA,,Salary,REF-439592,DEUTLUPPXXX,LU764755410000000903101,PSSTFRPP0XX,FR763262410000000903201,0.28,1,,,false,false,true
9032,2025-07-17T06:37:23.534Z,8415.87,CHF,PSU-PSD2,company,644,customer,163,NG,CH,FR,,,normal,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,39,dev-174613,SCA,,Gift,REF-965709,SOGECHLXXXX,FR767467610000000903201,PSSTNGMM0XX,FR766587110000000903301,1.44,0.8507,,false,false,true,FR,dev-174613,SCA,,Gift,REF-965709,SOGECHLXXXX,FR767467610000000903201,PSSTNGMM0XX,FR766587110000000903301,1.44,0.8507,,,false,false,true
9033,2025-06-19T06:37:23.534Z,6523.49,EUR,SWIFT,company,856,company,302,US,AE,,,,suspect,FONDS_SEIN_PAYS_TIER,10,dev-273984,SCA,,Gift,REF-245518,AGRIFAEPXXX,FR761403110000000903301,BNPAUSMM0XX,FR766438010000000903401,2.47,1,,false,false,true,,dev-273984,SCA,,Gift,REF-245518,AGRIFAEPXXX,FR761403110000000903301,BNPAUSMM0XX,FR766438010000000903401,2.47,1,,,false,false,true
9034,2025-08-13T06:37:23.534Z,5628.25,EUR,CASH,company,568,company,525,NG,AE,,,,normal,FONDS_SEIN_PAYS_TIER,11,dev-893134,SCA,,Crypto,REF-657780,BNPAAEMM2A1,FR764906110000000903401,BARCNGPP2A1,FR763636410000000903501,2.14,1,,false,false,true,,dev-893134,SCA,,Crypto,REF-657780,BNPAAEMM2A1,FR764906110000000903401,BARCNGPP2A1,FR763636410000000903501,2.14,1,,,false,false,true
9035,2025-09-06T06:37:23.534Z,7929.33,USD,CASH,company,344,customer,748,BE,GB,,,,review,FONDS_SEIN_PAYS_TIER,18,dev-208614,SCA,,Trade,REF-722276,BNPAGBLX2A1,FR765922010000000903501,CITIBEMM2A1,FR764910610000000903601,0.04,1.1332,,false,false,true,,dev-208614,SCA,,Trade,REF-722276,BNPAGBLX2A1,FR765922010000000903501,CITIBEMM2A1,FR764910610000000903601,0.04,1.1332,,,false,false,true
9036,2025-08-25T06:37:23.534Z,8992.84,EUR,SEPA,customer,35,company,210,IT,GB,,,,normal,FONDS_SEIN_PAYS_TIER,36,dev-161681,SCA,,Invoice,REF-420630,CITIGBLL0XX,FR762201710000000903601,CCBPITMM2A1,FR762519510000000903701,1.62,1,,true,false,true,,dev-161681,SCA,,Invoice,REF-420630,CITIGBLL0XX,FR762201710000000903601,CCBPITMM2A1,FR762519510000000903701,1.62,1,,,true,false,true
9037,2025-08-23T06:37:23.534Z,4772.85,GBP,CASH,customer,53,company,783,US,DE,,,,normal,,88,dev-700306,SCA,,Crypto,REF-784044,BNPADEMMXXX,FR768546010000000903701,BNPAUSPA0XX,FR769541910000000903801,2.83,1.2587,,false,false,true,,dev-700306,SCA,,Crypto,REF-784044,BNPADEMMXXX,FR768546010000000903701,BNPAUSPA0XX,FR769541910000000903801,2.83,1.2587,,,false,false,true
9038,2025-07-22T06:37:23.534Z,7066.12,GBP,CRYPTO,customer,998,customer,345,FR,NG,,true,,review,FONDS_SEIN_PAYS_TIER,87,dev-520622,SCA,,Invoice,REF-397903,DEUTNGMM0XX,FR761805210000000903801,SOGEFRPAXXX,FR765471910000000903901,2.40,1.1913,,false,false,true,,dev-520622,SCA,,Invoice,REF-397903,DEUTNGMM0XX,FR761805210000000903801,SOGEFRPAXXX,FR765471910000000903901,2.40,1.1913,true,,false,false,true
9039,2025-08-02T06:37:23.534Z,6905.15,EUR,CRYPTO,customer,356,customer,555,IT,AE,,false,,suspect,FONDS_SEIN_PAYS_TIER;PBR_ATTACHED,51,dev-517512,SCA,,Crypto,REF-697393,BARCAELXXXX,FR767049410000000903901,AGRIFITP2A1,FR761014110000000904001,2.25,1,,false,false,true,,dev-517512,SCA,,Crypto,REF-697393,BARCAELXXXX,FR767049410000000903901,AGRIFITP2A1,FR761014110000000904001,2.25,1,false,,false,false,true
9040,2025-08-28T06:37:23.534Z,8048.83,USD,PSU-PSD2,company,91,company,880,CN,BE,DE,,,normal,UTILISATION_CONNECTE,73,dev-435511,SCA,,Rent,REF-393290,HSBCBEPA2A1,FR765468110000000904001,SOGECNPP0XX,FR766455410000000904101,0.83,0.8048,,false,false,true,DE,dev-435511,SCA,,Rent,REF-393290,HSBCBEPA2A1,FR765468110000000904001,SOGECNPP0XX,FR766455410000000904101,0.83,0.8048,,,false,false,true
9041,2025-06-14T06:37:23.534Z,4179.19,EUR,PSU-PSD2,company,6,customer,814,LU,ES,DE,,,review,UTILISATION_CONNECTE,6,dev-413733,SCA,,Trade,REF-339226,BARCESLL0XX,FR768632010000000904101,BARCLULLXXX,LU767459410000000904201,1.99,1,,false,false,true,DE,dev-413733,SCA,,Trade,REF-339226,BARCESLL0XX,FR768632010000000904101,BARCLULLXXX,LU767459410000000904201,1.99,1,,,false,false,true
9042,2025-07-30T06:37:23.534Z,3398.82,EUR,CARD,company,648,customer,741,IT,CN,,,,suspect,FONDS_SEIN_PAYS_TIER,10,dev-359324,3DS,5732,Crypto,REF-137751,CITICNPP0XX,FR769892810000000904201,HSBCITPP0XX,FR767380210000000904301,1.85,1,false,false,false,true,,dev-359324,3DS,5732,Crypto,REF-137751,CITICNPP0XX,FR769892810000000904201,HSBCITPP0XX,FR767380210000000904301,1.85,1,,false,false,false,true
9043,2025-07-17T06:37:23.534Z,7250.16,GBP,CRYPTO,company,765,company,142,AE,AE,,true,,suspect,FONDS_SEIN_PAYS_TIER,68,dev-529255,SCA,,Crypto,REF-550752,BNPAAEPPXXX,FR761203110000000904301,DEUTAEMM2A1,FR761256410000000904401,0.71,1.1088,,false,false,false,,dev-529255,SCA,,Crypto,REF-550752,BNPAAEPPXXX,FR761203110000000904301,DEUTAEMM2A1,FR761256410000000904401,0.71,1.1088,true,,false,false,false
9044,2025-08-21T06:37:23.534Z,7371.77,CHF,SWIFT,company,728,customer,924,FR,AE,,,,suspect,FONDS_SEIN_PAYS_TIER,80,dev-483457,SCA,,Crypto,REF-281963,HSBCAEPAXXX,FR767051210000000904401,HSBCFRPPXXX,FR769857610000000904501,0.77,0.8328,,false,false,true,,dev-483457,SCA,,Crypto,REF-281963,HSBCAEPAXXX,FR767051210000000904401,HSBCFRPPXXX,FR769857610000000904501,0.77,0.8328,,,false,false,true
9045,2025-07-30T06:37:23.534Z,2047.8,CHF,SEPA,customer,251,customer,313,LU,NG,,,,suspect,FONDS_SEIN_PAYS_TIER,69,dev-634140,SCA,,Salary,REF-155341,SOGENGPA0XX,FR763905710000000904501,SOGELULXXXX,LU761070110000000904601,1.59,1.254,,true,false,true,,dev-634140,SCA,,Salary,REF-155341,SOGENGPA0XX,FR763905710000000904501,SOGELULXXXX,LU761070110000000904601,1.59,1.254,,,true,false,true
9046,2025-08-22T06:37:23.534Z,380.38,EUR,CRYPTO,company,601,company,615,FR,CN,,true,,normal,FONDS_SEIN_PAYS_TIER,61,dev-373149,SCA,,Crypto,REF-459683,DEUTCNPPXXX,FR761826710000000904601,HSBCFRLX0XX,FR762862010000000904701,0.99,1,,false,false,true,,dev-373149,SCA,,Crypto,REF-459683,DEUTCNPPXXX,FR761826710000000904601,HSBCFRLX0XX,FR762862010000000904701,0.99,1,true,,false,false,true
9047,2025-08-24T06:37:23.534Z,5085.81,USD,CASH,company,214,customer,564,CH,NG,,,,review,FONDS_SEIN_PAYS_TIER,46,dev-144834,SCA,,Rent,REF-468944,BARCNGLX2A1,FR764400610000000904701,BNPACHMM2A1,FR764299510000000904801,1.30,1.0834,,false,false,true,,dev-144834,SCA,,Rent,REF-468944,BARCNGLX2A1,FR764400610000000904701,BNPACHMM2A1,FR764299510000000904801,1.30,1.0834,,,false,false,true
9048,2025-08-17T06:37:23.534Z,2195.8,EUR,CASH,customer,39,company,260,CN,GB,,,,suspect,FONDS_SEIN_PAYS_TIER,3,dev-285414,SCA,,Invoice,REF-634420,BARCGBPAXXX,FR761301010000000904801,CITICNLL2A1,FR765599210000000904901,2.37,1,,false,false,true,,dev-285414,SCA,,Invoice,REF-634420,BARCGBPAXXX,FR761301010000000904801,CITICNLL2A1,FR765599210000000904901,2.37,1,,,false,false,true
9049,2025-06-19T06:37:23.534Z,2340.34,EUR,CASH,company,435,company,644,DE,AE,,,,suspect,FONDS_SEIN_PAYS_TIER,82,dev-161745,SCA,,Salary,REF-180697,SOGEAEPA2A1,FR768106510000000904901,HSBCDEMM2A1,FR763940210000000905001,2.95,1,,false,false,true,,dev-161745,SCA,,Salary,REF-180697,SOGEAEPA2A1,FR768106510000000904901,HSBCDEMM2A1,FR763940210000000905001,2.95,1,,,false,false,true
9050,2025-08-28T06:37:23.534Z,2005.38,CHF,PSU-PSD2,customer,638,customer,374,IT,GB,DE,,,normal,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,15,dev-808590,SCA,,Gift,REF-571676,DEUTGBLL2A1,FR761445910000000905001,AGRIFITM2A1,FR762001710000000905101,0.55,0.8895,,false,false,true,DE,dev-808590,SCA,,Gift,REF-571676,DEUTGBLL2A1,FR761445910000000905001,AGRIFITM2A1,FR762001710000000905101,0.55,0.8895,,,false,false,true
9051,2025-08-17T06:37:23.534Z,4430.53,USD,CRYPTO,customer,963,company,931,IT,IT,,true,,suspect,,14,dev-275681,SCA,,Crypto,REF-543946,HSBCITLL0XX,FR762077410000000905101,PSSTITMM0XX,FR762958310000000905201,0.64,1.3932,,false,false,false,,dev-275681,SCA,,Crypto,REF-543946,HSBCITLL0XX,FR762077410000000905101,PSSTITMM0XX,FR762958310000000905201,0.64,1.3932,true,,false,false,false
9052,2025-08-18T06:37:23.534Z,6138.33,EUR,CARD,customer,166,company,452,CN,CH,,,,normal,FONDS_SEIN_PAYS_TIER,38,dev-784765,3DS,5999,Invoice,REF-808519,SOGECHLL0XX,FR769268110000000905201,PSSTCNPPXXX,FR763757210000000905301,2.45,1,false,false,false,true,,dev-784765,3DS,5999,Invoice,REF-808519,SOGECHLL0XX,FR769268110000000905201,PSSTCNPPXXX,FR763757210000000905301,2.45,1,,false,false,false,true
9053,2025-09-01T06:37:23.534Z,5140.68,CHF,PSU-PSD2,company,137,customer,409,CH,ES,FR,,,review,UTILISATION_CONNECTE,11,dev-266545,SCA,,Trade,REF-718989,CITIESLL2A1,FR765911710000000905301,BARCCHPPXXX,FR762411210000000905401,1.61,0.863,,false,false,true,FR,dev-266545,SCA,,Trade,REF-718989,CITIESLL2A1,FR765911710000000905301,BARCCHPPXXX,FR762411210000000905401,1.61,0.863,,,false,false,true
9054,2025-06-28T06:37:23.534Z,7385.84,EUR,SWIFT,company,1000,company,4,FR,BE,,,,normal,,85,dev-140241,SCA,,Salary,REF-292661,CCBPBELX2A1,FR762640010000000905401,PSSTFRMM2A1,FR762102610000000905501,0.32,1,,false,false,true,,dev-140241,SCA,,Salary,REF-292661,CCBPBELX2A1,FR762640010000000905401,PSSTFRMM2A1,FR762102610000000905501,0.32,1,,,false,false,true
9055,2025-07-27T06:37:23.534Z,7245.31,GBP,PSU-PSD2,company,517,company,491,GB,US,ES,,,review,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,55,dev-201138,SCA,,Salary,REF-583957,SOGEUSMMXXX,FR761124810000000905501,CCBPGBPP0XX,FR766979610000000905601,1.60,1.3304,,false,false,true,ES,dev-201138,SCA,,Salary,REF-583957,SOGEUSMMXXX,FR761124810000000905501,CCBPGBPP0XX,FR766979610000000905601,1.60,1.3304,,,false,false,true
9056,2025-07-03T06:37:23.534Z,7006.12,EUR,PSU-PSD2,customer,223,company,17,CN,US,FR,,,suspect,FONDS_SEIN_PAYS_TIER;UTILISATION_CONNECTE,23,dev-494196,SCA,,Salary,REF-992226,HSBCUSMM2A1,FR762510410000000905601,CCBPCNPPXXX,FR767999410000000905701,0.72,1,,false,false,true,FR,dev-494196,SCA,,Salary,REF-992226,HSBCUSMM2A1,FR762510410000000905601,CCBPCNPPXXX,FR767999410000000905701,0.72,1,,,false,false,true
9057,2025-08-03T06:37:23.534Z,4604.55,EUR,CASH,company,804,customer,69,IT,CN,,,,normal,FONDS_SEIN_PAYS_TIER,100,dev-414873,SCA,,Invoice,REF-905061,BARCCNPP0XX,FR764291810000000905701,BNPAITPP0XX,FR761098310000000905801,1.03,1,,false,false,true,,dev-414873,SCA,,Invoice,REF-905061,BARCCNPP0XX,FR764291810000000905701,BNPAITPP0XX,FR761098310000000905801,1.03,1,,,false,false,true
