customer_id,name,country,created_at,kyc_updated_at,risk_score,account_iban,customer_segment,employment_status,annual_income_eur,kyc_review_date,residency_status,source_of_funds,onboarding_channel,last_login_ip_country,account_iban,customer_segment,employment_status,annual_income_eur,kyc_review_date,residency_status,source_of_funds,onboarding_channel,last_login_ip_country
16,,FR,2025-05-12,,42,FR762778010000000001601,Premium,Student,50093,2023-05-03,Resident,Savings,Online,DE,FR762778010000000001601,Premium,Student,50093,2023-05-03,Resident,Savings,Online,DE
17,,FR,2023-04-04,,58,FR763931810000000001701,Premium,Salaried,23728,2023-09-19,Resident,Business income,Branch,FR,FR763931810000000001701,Premium,Salaried,23728,2023-09-19,Resident,Business income,Branch,FR
18,,DE,2023-11-30,,27,FR769810710000000001801,Private,Student,120687,2024-03-17,Non-Resident,Savings,Branch,GB,FR769810710000000001801,Private,Student,120687,2024-03-17,Non-Resident,Savings,Branch,GB
19,,BE,2023-09-23,,1,FR761939510000000001901,Retail,Retired,32371,2025-07-05,Non-Resident,Savings,Online,DE,FR761939510000000001901,Retail,Retired,32371,2025-07-05,Non-Resident,Savings,Online,DE
20,,ES,2024-07-09,,55,FR767783410000000002001,Premium,Self-Employed,90299,2023-05-25,Non-Resident,Savings,Online,FR,FR767783410000000002001,Premium,Self-Employed,90299,2023-05-25,Non-Resident,Savings,Online,FR
21,,FR,2024-07-30,,92,FR768992110000000002101,Retail,Salaried,119067,2024-03-15,Resident,Business income,Branch,ES,FR768992110000000002101,Retail,Salaried,119067,2024-03-15,Resident,Business income,Branch,ES
22,,IT,2025-09-06,,78,FR765848510000000002201,Private,Self-Employed,51526,2024-01-28,Non-Resident,Savings,Branch,GB,FR765848510000000002201,Private,Self-Employed,51526,2024-01-28,Non-Resident,Savings,Branch,GB
23,,FR,2023-07-02,,79,FR765193910000000002301,Premium,Student,42047,2023-05-23,Resident,Business income,Branch,DE,FR765193910000000002301,Premium,Student,42047,2023-05-23,Resident,Business income,Branch,DE
24,,BE,2025-06-19,,17,FR769566710000000002401,Premium,Self-Employed,63879,2025-02-04,Non-Resident,Salary,Online,ES,FR769566710000000002401,Premium,Self-Employed,63879,2025-02-04,Non-Resident,Salary,Online,ES
25,,DE,2024-08-19,,99,FR761779110000000002501,Retail,Student,108463,2023-10-17,Non-Resident,Savings,Branch,GB,FR761779110000000002501,Retail,Student,108463,2023-10-17,Non-Resident,Savings,Branch,GB
26,,IT,2025-05-07,,24,FR767963410000000002601,Retail,Self-Employed,58340,2024-03-10,Non-Resident,Salary,Branch,ES,FR767963410000000002601,Retail,Self-Employed,58340,2024-03-10,Non-Resident,Salary,Branch,ES
27,,FR,2023-11-08,,91,FR765160710000000002701,Retail,Student,69897,2024-02-26,Resident,Savings,Online,DE,FR765160710000000002701,Retail,Student,69897,2024-02-26,Resident,Savings,Online,DE
28,,LU,2024-04-19,,28,FR763316410000000002801,Private,Student,52347,2023-07-03,Non-Resident,Business income,Online,ES,FR763316410000000002801,Private,Student,52347,2023-07-03,Non-Resident,Business income,Online,ES
29,,BE,2023-05-04,,7,FR761079010000000002901,Retail,Self-Employed,55355,2025-03-28,Non-Resident,Salary,Online,ES,FR761079010000000002901,Retail,Self-Employed,55355,2025-03-28,Non-Resident,Salary,Online,ES
30,,LU,2023-12-20,,0,FR764476210000000003001,Private,Retired,57116,2023-09-28,Non-Resident,Salary,Online,DE,FR764476210000000003001,Private,Retired,57116,2023-09-28,Non-Resident,Salary,Online,DE
31,,ES,2024-02-17,,9,FR765471610000000003101,Private,Salaried,21936,2025-04-02,Non-Resident,Business income,Branch,ES,FR765471610000000003101,Private,Salaried,21936,2025-04-02,Non-Resident,Business income,Branch,ES
32,,FR,2024-08-31,,77,FR761853710000000003201,Retail,Retired,107777,2023-12-20,Resident,Savings,Branch,DE,FR761853710000000003201,Retail,Retired,107777,2023-12-20,Resident,Savings,Branch,DE
33,,LU,2025-05-25,,17,FR766892410000000003301,Retail,Self-Employed,33285,2024-02-19,Non-Resident,Salary,Online,ES,FR766892410000000003301,Retail,Self-Employed,33285,2024-02-19,Non-Resident,Salary,Online,ES
34,,BE,2024-05-27,,49,FR762294810000000003401,Private,Student,55878,2023-08-14,Non-Resident,Savings,Online,DE,FR762294810000000003401,Private,Student,55878,2023-08-14,Non-Resident,Savings,Online,DE
35,,FR,2023-03-05,,96,FR768916310000000003501,Retail,Student,122772,2024-12-26,Resident,Business income,Online,DE,FR768916310000000003501,Retail,Student,122772,2024-12-26,Resident,Business income,Online,DE
36,,ES,2024-12-25,,17,FR761430610000000003601,Retail,Retired,50657,2023-04-06,Non-Resident,Savings,Branch,FR,FR761430610000000003601,Retail,Retired,50657,2023-04-06,Non-Resident,Savings,Branch,FR
37,,DE,2025-06-08,,85,FR767147110000000003701,Premium,Salaried,80805,2024-09-22,Non-Resident,Business income,Branch,FR,FR767147110000000003701,Premium,Salaried,80805,2024-09-22,Non-Resident,Business income,Branch,FR
38,,LU,2025-05-14,,81,FR763185110000000003801,Retail,Student,70231,2024-06-22,Non-Resident,Salary,Branch,DE,FR763185110000000003801,Retail,Student,70231,2024-06-22,Non-Resident,Salary,Branch,DE
39,,IT,2023-07-19,,0,FR765185210000000003901,Retail,Retired,128202,2025-07-04,Non-Resident,Business income,Branch,DE,FR765185210000000003901,Retail,Retired,128202,2025-07-04,Non-Resident,Business income,Branch,DE
40,,FR,2023-07-07,,43,FR763915710000000004001,Premium,Student,72252,2025-02-25,Resident,Savings,Online,DE,FR763915710000000004001,Premium,Student,72252,2025-02-25,Resident,Savings,Online,DE
41,,DE,2023-01-14,,24,FR761137510000000004101,Premium,Retired,104211,2025-04-09,Non-Resident,Salary,Online,GB,FR761137510000000004101,Premium,Retired,104211,2025-04-09,Non-Resident,Salary,Online,GB
42,,ES,2023-01-26,,67,FR762058410000000004201,Retail,Student,79501,2024-01-18,Non-Resident,Salary,Branch,DE,FR762058410000000004201,Retail,Student,79501,2024-01-18,Non-Resident,Salary,Branch,DE
43,,LU,2024-10-24,,23,FR767437910000000004301,Retail,Student,94987,2023-09-24,Non-Resident,Business income,Branch,ES,FR767437910000000004301,Retail,Student,94987,2023-09-24,Non-Resident,Business income,Branch,ES
44,,FR,2025-08-18,,73,FR762746610000000004401,Private,Self-Employed,98194,2025-08-15,Resident,Business income,Online,DE,FR762746610000000004401,Private,Self-Employed,98194,2025-08-15,Resident,Business income,Online,DE
45,,FR,2024-12-27,,54,FR765398410000000004501,Retail,Retired,59593,2024-11-14,Resident,Business income,Branch,GB,FR765398410000000004501,Retail,Retired,59593,2024-11-14,Resident,Business income,Branch,GB
46,,FR,2024-11-05,,9,FR767202710000000004601,Premium,Self-Employed,118040,2024-02-01,Resident,Salary,Online,GB,FR767202710000000004601,Premium,Self-Employed,118040,2024-02-01,Resident,Salary,Online,GB
47,,ES,2023-02-20,,96,FR768959310000000004701,Premium,Retired,35064,2024-11-04,Non-Resident,Business income,Branch,DE,FR768959310000000004701,Premium,Retired,35064,2024-11-04,Non-Resident,Business income,Branch,DE
48,,IT,2023-06-19,,39,FR769557910000000004801,Retail,Student,58690,2025-04-17,Non-Resident,Savings,Online,DE,FR769557910000000004801,Retail,Student,58690,2025-04-17,Non-Resident,Savings,Online,DE
49,,BE,2025-07-04,,24,FR769205510000000004901,Private,Student,94794,2023-08-26,Non-Resident,Business income,Online,ES,FR769205510000000004901,Private,Student,94794,2023-08-26,Non-Resident,Business income,Online,ES
50,,DE,2023-01-31,,42,FR761596210000000005001,Premium,Student,65002,2025-07-15,Non-Resident,Business income,Online,ES,FR761596210000000005001,Premium,Student,65002,2025-07-15,Non-Resident,Business income,Online,ES
51,,FR,2025-05-29,,21,FR769254810000000005101,Private,Self-Employed,132297,2023-12-15,Resident,Business income,Branch,ES,FR769254810000000005101,Private,Self-Employed,132297,2023-12-15,Resident,Business income,Branch,ES
52,,ES,2024-02-16,,52,FR761604410000000005201,Retail,Student,64816,2024-05-07,Non-Resident,Salary,Online,DE,FR761604410000000005201,Retail,Student,64816,2024-05-07,Non-Resident,Salary,Online,DE
53,,ES,2022-12-20,,97,FR767048910000000005301,Premium,Self-Employed,137942,2025-07-21,Non-Resident,Salary,Branch,ES,FR767048910000000005301,Premium,Self-Employed,137942,2025-07-21,Non-Resident,Salary,Branch,ES
54,,BE,2023-09-05,,95,FR769773910000000005401,Retail,Student,81965,2025-04-20,Non-Resident,Savings,Branch,ES,FR769773910000000005401,Retail,Student,81965,2025-04-20,Non-Resident,Savings,Branch,ES
55,,DE,2023-04-13,,12,FR769720010000000005501,Private,Retired,119816,2023-07-04,Non-Resident,Salary,Online,FR,FR769720010000000005501,Private,Retired,119816,2023-07-04,Non-Resident,Salary,Online,FR
56,,ES,2022-12-17,,1,FR768886010000000005601,Premium,Retired,60856,2023-08-30,Non-Resident,Savings,Branch,GB,FR768886010000000005601,Premium,Retired,60856,2023-08-30,Non-Resident,Savings,Branch,GB
57,,BE,2023-05-27,,92,FR763886910000000005701,Retail,Retired,28297,2025-02-26,Non-Resident,Salary,Branch,ES,FR763886910000000005701,Retail,Retired,28297,2025-02-26,Non-Resident,Salary,Branch,ES
58,,FR,2024-06-17,,63,FR761278410000000005801,Retail,Student,86831,2023-05-31,Resident,Business income,Branch,GB,FR761278410000000005801,Retail,Student,86831,2023-05-31,Resident,Business income,Branch,GB
59,,LU,2025-07-11,,94,FR768293710000000005901,Premium,Student,91098,2024-09-06,Non-Resident,Business income,Online,GB,FR768293710000000005901,Premium,Student,91098,2024-09-06,Non-Resident,Business income,Online,GB
60,,LU,2025-05-01,,95,FR765146510000000006001,Retail,Self-Employed,127466,2024-12-21,Non-Resident,Salary,Branch,GB,FR765146510000000006001,Retail,Self-Employed,127466,2024-12-21,Non-Resident,Salary,Branch,GB
61,,IT,2023-02-09,,7,FR768627210000000006101,Retail,Self-Employed,95987,2023-10-09,Non-Resident,Business income,Branch,FR,FR768627210000000006101,Retail,Self-Employed,95987,2023-10-09,Non-Resident,Business income,Branch,FR
62,,IT,2025-04-02,,47,FR766334610000000006201,Premium,Salaried,100964,2024-09-04,Non-Resident,Savings,Online,ES,FR766334610000000006201,Premium,Salaried,100964,2024-09-04,Non-Resident,Savings,Online,ES
63,,ES,2023-01-12,,60,FR769401110000000006301,Private,Student,132288,2024-06-29,Non-Resident,Business income,Online,DE,FR769401110000000006301,Private,Student,132288,2024-06-29,Non-Resident,Business income,Online,DE
64,,FR,2024-12-22,,60,FR766652510000000006401,Private,Student,72253,2024-07-22,Resident,Salary,Online,GB,FR766652510000000006401,Private,Student,72253,2024-07-22,Resident,Salary,Online,GB
65,,BE,2024-07-17,,9,FR764798210000000006501,Retail,Self-Employed,41877,2023-05-09,Non-Resident,Salary,Branch,FR,FR764798210000000006501,Retail,Self-Employed,41877,2023-05-09,Non-Resident,Salary,Branch,FR
66,,IT,2024-05-01,,7,FR761499710000000006601,Private,Student,118347,2024-10-22,Non-Resident,Savings,Online,FR,FR761499710000000006601,Private,Student,118347,2024-10-22,Non-Resident,Savings,Online,FR
67,,ES,2023-04-02,,53,FR767570810000000006701,Private,Salaried,95928,2025-01-18,Non-Resident,Savings,Branch,FR,FR767570810000000006701,Private,Salaried,95928,2025-01-18,Non-Resident,Savings,Branch,FR
68,,ES,2023-10-18,,60,FR763592910000000006801,Private,Self-Employed,55316,2023-04-23,Non-Resident,Savings,Branch,ES,FR763592910000000006801,Private,Self-Employed,55316,2023-04-23,Non-Resident,Savings,Branch,ES
69,,LU,2023-04-02,,48,FR768876910000000006901,Retail,Salaried,44490,2024-08-21,Non-Resident,Savings,Online,DE,FR768876910000000006901,Retail,Salaried,44490,2024-08-21,Non-Resident,Savings,Online,DE
70,,DE,2023-03-01,,74,FR769024210000000007001,Premium,Retired,117965,2025-02-22,Non-Resident,Business income,Branch,DE,FR769024210000000007001,Premium,Retired,117965,2025-02-22,Non-Resident,Business income,Branch,DE
71,,FR,2024-08-01,,7,FR761955110000000007101,Retail,Retired,39231,2023-11-24,Resident,Savings,Branch,GB,FR761955110000000007101,Retail,Retired,39231,2023-11-24,Resident,Savings,Branch,GB
72,,LU,2023-09-11,,59,FR766761610000000007201,Premium,Salaried,74289,2023-12-22,Non-Resident,Savings,Online,FR,FR766761610000000007201,Premium,Salaried,74289,2023-12-22,Non-Resident,Savings,Online,FR
73,,FR,2024-09-13,,45,FR766288710000000007301,Premium,Salaried,70552,2025-03-27,Resident,Business income,Online,FR,FR766288710000000007301,Premium,Salaried,70552,2025-03-27,Resident,Business income,Online,FR
74,,BE,2024-08-15,,18,FR767091710000000007401,Private,Salaried,125127,2025-03-31,Non-Resident,Savings,Online,GB,FR767091710000000007401,Private,Salaried,125127,2025-03-31,Non-Resident,Savings,Online,GB
75,,ES,2023-12-30,,70,FR769314810000000007501,Private,Retired,59205,2023-06-15,Non-Resident,Savings,Branch,ES,FR769314810000000007501,Private,Retired,59205,2023-06-15,Non-Resident,Savings,Branch,ES
76,,DE,2025-05-15,,89,FR769337510000000007601,Premium,Self-Employed,95537,2024-05-31,Non-Resident,Business income,Online,DE,FR769337510000000007601,Premium,Self-Employed,95537,2024-05-31,Non-Resident,Business income,Online,DE
77,,FR,2023-11-25,,33,FR765538210000000007701,Private,Salaried,30181,2025-06-27,Resident,Business income,Branch,DE,FR765538210000000007701,Private,Salaried,30181,2025-06-27,Resident,Business income,Branch,DE
78,,FR,2025-01-25,,10,FR768437910000000007801,Private,Student,118361,2023-12-19,Resident,Salary,Online,FR,FR768437910000000007801,Private,Student,118361,2023-12-19,Resident,Salary,Online,FR
79,,FR,2023-04-20,,70,FR762175410000000007901,Retail,Retired,95425,2023-09-19,Resident,Savings,Online,FR,FR762175410000000007901,Retail,Retired,95425,2023-09-19,Resident,Savings,Online,FR
80,,ES,2025-03-16,,21,FR763934010000000008001,Private,Salaried,119831,2023-10-12,Non-Resident,Savings,Branch,DE,FR763934010000000008001,Private,Salaried,119831,2023-10-12,Non-Resident,Savings,Branch,DE
81,,FR,2023-06-30,,98,FR767750710000000008101,Retail,Student,40627,2025-04-16,Resident,Savings,Online,DE,FR767750710000000008101,Retail,Student,40627,2025-04-16,Resident,Savings,Online,DE
82,,DE,2024-08-14,,63,FR763736310000000008201,Private,Salaried,32570,2023-09-27,Non-Resident,Salary,Branch,GB,FR763736310000000008201,Private,Salaried,32570,2023-09-27,Non-Resident,Salary,Branch,GB
83,,FR,2025-03-28,,85,FR762376910000000008301,Retail,Self-Employed,134032,2023-05-16,Resident,Savings,Online,GB,FR762376910000000008301,Retail,Self-Employed,134032,2023-05-16,Resident,Savings,Online,GB
84,,FR,2023-03-13,,61,FR769753310000000008401,Retail,Retired,120940,2023-05-08,Resident,Salary,Branch,FR,FR769753310000000008401,Retail,Retired,120940,2023-05-08,Resident,Salary,Branch,FR
85,,IT,2025-06-14,,66,FR761282210000000008501,Private,Salaried,117075,2025-02-26,Non-Resident,Salary,Branch,ES,FR761282210000000008501,Private,Salaried,117075,2025-02-26,Non-Resident,Salary,Branch,ES
86,,FR,2023-03-07,,66,FR764233410000000008601,Private,Retired,107445,2024-12-09,Resident,Savings,Branch,DE,FR764233410000000008601,Private,Retired,107445,2024-12-09,Resident,Savings,Branch,DE
87,,ES,2024-06-12,,25,FR766877410000000008701,Retail,Salaried,53417,2025-02-03,Non-Resident,Salary,Branch,GB,FR766877410000000008701,Retail,Salaried,53417,2025-02-03,Non-Resident,Salary,Branch,GB
88,,BE,2024-07-23,,12,FR763201410000000008801,Private,Salaried,24379,2025-07-06,Non-Resident,Business income,Branch,ES,FR763201410000000008801,Private,Salaried,24379,2025-07-06,Non-Resident,Business income,Branch,ES
89,,IT,2023-08-08,,41,FR766107210000000008901,Premium,Student,120094,2024-02-12,Non-Resident,Savings,Branch,DE,FR766107210000000008901,Premium,Student,120094,2024-02-12,Non-Resident,Savings,Branch,DE
90,,ES,2023-10-28,,10,FR763961810000000009001,Premium,Student,102172,2023-09-13,Non-Resident,Business income,Online,GB,FR763961810000000009001,Premium,Student,102172,2023-09-13,Non-Resident,Business income,Online,GB
91,,FR,2023-09-15,,96,FR765549210000000009101,Premium,Retired,39953,2023-12-09,Resident,Salary,Online,FR,FR765549210000000009101,Premium,Retired,39953,2023-12-09,Resident,Salary,Online,FR
92,,FR,2025-08-22,,64,FR762451710000000009201,Retail,Retired,34589,2023-07-26,Resident,Savings,Online,DE,FR762451710000000009201,Retail,Retired,34589,2023-07-26,Resident,Savings,Online,DE
93,,FR,2024-09-04,,62,FR763603810000000009301,Retail,Student,134285,2024-05-11,Resident,Savings,Branch,FR,FR763603810000000009301,Retail,Student,134285,2024-05-11,Resident,Savings,Branch,FR
94,,FR,2024-12-14,,46,FR764217010000000009401,Premium,Salaried,43763,2024-12-03,Resident,Savings,Online,FR,FR764217010000000009401,Premium,Salaried,43763,2024-12-03,Resident,Savings,Online,FR
95,,LU,2023-09-23,,97,FR767606710000000009501,Premium,Salaried,58618,2025-05-01,Non-Resident,Salary,Branch,GB,FR767606710000000009501,Premium,Salaried,58618,2025-05-01,Non-Resident,Salary,Branch,GB
96,,BE,2023-02-25,,5,FR762631010000000009601,Private,Self-Employed,66990,2024-05-25,Non-Resident,Business income,Online,FR,FR762631010000000009601,Private,Self-Employed,66990,2024-05-25,Non-Resident,Business income,Online,FR
97,,ES,2025-05-25,,45,FR768665210000000009701,Premium,Self-Employed,109396,2024-06-12,Non-Resident,Salary,Branch,ES,FR768665210000000009701,Premium,Self-Employed,109396,2024-06-12,Non-Resident,Salary,Branch,ES
98,,IT,2024-08-23,,36,FR761325010000000009801,Premium,Self-Employed,23498,2023-07-01,Non-Resident,Savings,Branch,FR,FR761325010000000009801,Premium,Self-Employed,23498,2023-07-01,Non-Resident,Savings,Branch,FR
99,,BE,2024-12-02,,29,FR765468110000000009901,Retail,Salaried,89471,2023-06-18,Non-Resident,Business income,Branch,DE,FR765468110000000009901,Retail,Salaried,89471,2023-06-18,Non-Resident,Business income,Branch,DE
100,,IT,2024-12-07,,45,FR766240210000000010001,Private,Salaried,115908,2023-07-02,Non-Resident,Salary,Branch,GB,FR766240210000000010001,Private,Salaried,115908,2023-07-02,Non-Resident,Salary,Branch,GB
101,,BE,2023-01-27,,88,FR764316710000000010101,Premium,Student,85980,2023-11-27,Non-Resident,Savings,Branch,DE,FR764316710000000010101,Premium,Student,85980,2023-11-27,Non-Resident,Savings,Branch,DE
102,,IT,2023-02-02,,53,FR765070610000000010201,Private,Retired,85916,2023-12-03,Non-Resident,Business income,Online,GB,FR765070610000000010201,Private,Retired,85916,2023-12-03,Non-Resident,Business income,Online,GB
103,,FR,2024-07-21,,48,FR762663110000000010301,Retail,Retired,121329,2024-11-04,Resident,Business income,Online,GB,FR762663110000000010301,Retail,Retired,121329,2024-11-04,Resident,Business income,Online,GB
104,,ES,2024-08-01,,26,FR765230310000000010401,Retail,Retired,47158,2023-12-25,Non-Resident,Salary,Online,ES,FR765230310000000010401,Retail,Retired,47158,2023-12-25,Non-Resident,Salary,Online,ES
105,,BE,2022-12-21,,9,FR766034410000000010501,Premium,Retired,73203,2023-11-19,Non-Resident,Salary,Branch,GB,FR766034410000000010501,Premium,Retired,73203,2023-11-19,Non-Resident,Salary,Branch,GB
106,,FR,2025-04-14,,26,FR762414210000000010601,Private,Student,21896,2025-01-09,Resident,Salary,Branch,GB,FR762414210000000010601,Private,Student,21896,2025-01-09,Resident,Salary,Branch,GB
107,,FR,2023-03-13,,46,FR765295210000000010701,Premium,Self-Employed,70416,2025-06-25,Resident,Savings,Branch,FR,FR765295210000000010701,Premium,Self-Employed,70416,2025-06-25,Resident,Savings,Branch,FR
108,,IT,2023-02-16,,58,FR761261810000000010801,Premium,Retired,50828,2025-07-20,Non-Resident,Salary,Branch,ES,FR761261810000000010801,Premium,Retired,50828,2025-07-20,Non-Resident,Salary,Branch,ES
109,,FR,2023-09-02,,49,FR764699010000000010901,Premium,Student,28029,2025-06-09,Resident,Business income,Branch,DE,FR764699010000000010901,Premium,Student,28029,2025-06-09,Resident,Business income,Branch,DE
110,,FR,2025-01-08,,4,FR763369310000000011001,Private,Retired,86985,2023-08-02,Resident,Savings,Branch,DE,FR763369310000000011001,Private,Retired,86985,2023-08-02,Resident,Savings,Branch,DE
111,,FR,2023-03-11,,8,FR769934910000000011101,Private,Self-Employed,85316,2025-06-11,Resident,Business income,Online,DE,FR769934910000000011101,Private,Self-Employed,85316,2025-06-11,Resident,Business income,Online,DE
112,,FR,2024-01-23,,67,FR762341010000000011201,Premium,Retired,84849,2025-01-25,Resident,Salary,Online,GB,FR762341010000000011201,Premium,Retired,84849,2025-01-25,Resident,Salary,Online,GB
113,,DE,2023-12-06,,39,FR763746310000000011301,Premium,Retired,37076,2023-04-19,Non-Resident,Savings,Online,ES,FR763746310000000011301,Premium,Retired,37076,2023-04-19,Non-Resident,Savings,Online,ES
114,,ES,2024-09-08,,76,FR766655910000000011401,Private,Salaried,78699,2023-06-10,Non-Resident,Business income,Branch,ES,FR766655910000000011401,Private,Salaried,78699,2023-06-10,Non-Resident,Business income,Branch,ES
115,,FR,2023-05-23,,8,FR769846310000000011501,Private,Retired,55324,2023-05-07,Resident,Savings,Branch,ES,FR769846310000000011501,Private,Retired,55324,2023-05-07,Resident,Savings,Branch,ES
116,,FR,2025-05-01,,73,FR769238010000000011601,Premium,Salaried,139353,2024-05-04,Resident,Savings,Online,FR,FR769238010000000011601,Premium,Salaried,139353,2024-05-04,Resident,Savings,Online,FR
117,,BE,2025-04-29,,80,FR768020610000000011701,Private,Student,83531,2024-06-28,Non-Resident,Savings,Online,FR,FR768020610000000011701,Private,Student,83531,2024-06-28,Non-Resident,Savings,Online,FR
118,,FR,2024-10-31,,60,FR765787010000000011801,Premium,Retired,119594,2023-10-22,Resident,Salary,Online,FR,FR765787010000000011801,Premium,Retired,119594,2023-10-22,Resident,Salary,Online,FR
119,,DE,2023-06-05,,79,FR767595510000000011901,Retail,Retired,56892,2024-01-17,Non-Resident,Savings,Online,DE,FR767595510000000011901,Retail,Retired,56892,2024-01-17,Non-Resident,Savings,Online,DE
120,,FR,2023-07-12,,65,FR769413710000000012001,Private,Salaried,22963,2025-07-15,Resident,Salary,Branch,FR,FR769413710000000012001,Private,Salaried,22963,2025-07-15,Resident,Salary,Branch,FR
121,,ES,2025-06-20,,13,FR769868410000000012101,Premium,Student,26247,2023-07-23,Non-Resident,Savings,Online,FR,FR769868410000000012101,Premium,Student,26247,2023-07-23,Non-Resident,Savings,Online,FR
122,,FR,2025-01-06,,5,FR766026810000000012201,Retail,Retired,71140,2024-03-14,Resident,Savings,Branch,ES,FR766026810000000012201,Retail,Retired,71140,2024-03-14,Resident,Savings,Branch,ES
123,,ES,2023-03-24,,56,FR762609310000000012301,Premium,Salaried,27977,2024-08-29,Non-Resident,Savings,Online,GB,FR762609310000000012301,Premium,Salaried,27977,2024-08-29,Non-Resident,Savings,Online,GB
124,,FR,2023-07-21,,56,FR763160210000000012401,Premium,Self-Employed,96413,2023-11-07,Resident,Salary,Online,GB,FR763160210000000012401,Premium,Self-Employed,96413,2023-11-07,Resident,Salary,Online,GB
125,,BE,2024-04-19,,93,FR769494510000000012501,Private,Student,85874,2025-06-30,Non-Resident,Savings,Branch,FR,FR769494510000000012501,Private,Student,85874,2025-06-30,Non-Resident,Savings,Branch,FR
126,,FR,2024-03-28,,8,FR762665310000000012601,Premium,Self-Employed,22336,2025-02-20,Resident,Business income,Branch,DE,FR762665310000000012601,Premium,Self-Employed,22336,2025-02-20,Resident,Business income,Branch,DE
127,,FR,2025-02-03,,62,FR767805210000000012701,Private,Retired,111201,2025-04-28,Resident,Business income,Branch,FR,FR767805210000000012701,Private,Retired,111201,2025-04-28,Resident,Business income,Branch,FR
128,,IT,2023-07-28,,66,FR764237010000000012801,Private,Student,133475,2024-05-26,Non-Resident,Savings,Branch,GB,FR764237010000000012801,Private,Student,133475,2024-05-26,Non-Resident,Savings,Branch,GB
129,,BE,2023-03-18,,84,FR764848010000000012901,Retail,Salaried,129338,2025-02-17,Non-Resident,Savings,Branch,DE,FR764848010000000012901,Retail,Salaried,129338,2025-02-17,Non-Resident,Savings,Branch,DE
